camera_id,year,month,accidents
DEI-008/CAM-01,2021,9,6
DEI-008/CAM-01,2021,10,9
DEI-008/CAM-01,2021,11,5
DEI-008/CAM-01,2021,12,6
DEI-008/CAM-01,2022,1,5
DEI-008/CAM-01,2022,2,7
DEI-008/CAM-01,2022,3,10
DEI-008/CAM-01,2022,4,13
DEI-008/CAM-01,2022,5,7
DEI-008/CAM-01,2022,6,18
DEI-008/CAM-01,2022,7,8
DEI-008/CAM-01,2022,8,10
DEI-008/CAM-01,2022,9,7
DEI-008/CAM-01,2022,10,4
DEI-008/CAM-01,2022,11,3
DEI-008/CAM-01,2022,12,6
DEI-008/CAM-02,2019,1,2
DEI-008/CAM-02,2019,2,3
DEI-008/CAM-02,2019,3,2
DEI-008/CAM-02,2019,4,3
DEI-008/CAM-02,2019,5,2
DEI-008/CAM-02,2019,7,2
DEI-008/CAM-02,2019,9,2
DEI-008/CAM-02,2019,11,2
DEI-008/CAM-02,2019,12,4
DEI-008/CAM-02,2020,1,1
DEI-008/CAM-02,2020,2,2
DEI-008/CAM-02,2020,3,2
DEI-008/CAM-02,2020,8,1
DEI-008/CAM-02,2020,9,4
DEI-008/CAM-02,2020,10,2
DEI-008/CAM-02,2020,11,1
DEI-008/CAM-02,2020,12,2
DEI-008/CAM-02,2021,1,7
DEI-008/CAM-02,2021,2,5
DEI-008/CAM-02,2021,3,10
DEI-008/CAM-02,2021,4,6
DEI-008/CAM-02,2021,5,10
DEI-008/CAM-02,2021,6,7
DEI-008/CAM-02,2021,7,6
DEI-008/CAM-02,2021,8,9
DEI-008/CAM-02,2021,9,6
DEI-008/CAM-02,2021,10,9
DEI-008/CAM-02,2021,11,5
DEI-008/CAM-02,2021,12,6
DEI-008/CAM-02,2022,1,5
DEI-008/CAM-02,2022,2,7
DEI-008/CAM-02,2022,3,10
DEI-008/CAM-02,2022,4,13
DEI-008/CAM-02,2022,5,7
DEI-008/CAM-02,2022,6,18
DEI-008/CAM-02,2022,7,8
DEI-008/CAM-02,2022,8,10
DEI-008/CAM-02,2022,9,7
DEI-008/CAM-02,2022,10,4
DEI-008/CAM-02,2022,11,3
DEI-008/CAM-02,2022,12,6
DEI-009/CAM-01,2019,1,142
DEI-009/CAM-01,2019,2,131
DEI-009/CAM-01,2019,3,145
DEI-009/CAM-01,2019,4,151
DEI-009/CAM-01,2019,5,165
DEI-009/CAM-01,2019,6,133
DEI-009/CAM-01,2019,7,133
DEI-009/CAM-01,2019,8,122
DEI-009/CAM-01,2019,9,144
DEI-009/CAM-01,2019,10,132
DEI-009/CAM-01,2019,11,116
DEI-009/CAM-01,2019,12,155
DEI-009/CAM-01,2020,1,103
DEI-009/CAM-01,2020,2,116
DEI-009/CAM-01,2020,3,80
